_id,saep,dateSituation,cause,dateResolution,etat
532,bni blel,2020-06-30,Casses fréquentes de  réseaux ,juil-20,P
533,Bir Amir village,2020-06-30,,,F
534,Draina,2020-06-30,,,F
535,El Amra,2020-06-23,,,F
536,Zaten,2020-06-23,,,F
537,Ladbech Lachraf,2020-06-23,,,F
538,Ezznazfa,2020-06-23,,,F
539,Toujane,2020-06-23,,,F
540,Mazraet Ben Slama,2020-06-23,,,F
541,Beni rachid,2020-06-23,,,F
542,Oued El Ghirene,2020-06-23,,,F
543,Abou El Wafa,2020-06-23,,,F
544,Baten Ettrajma,2020-06-23,,,F
546,Oued Essouinia,2020-06-23,,,F
547,El Achaich,2020-06-23,,,F
548,Katt Jlass,2020-06-23,Branchement illicite,44013,F
549,El Fejja,2020-06-23,,,F
550,El Machta,2020-06-23,,,F
551,Missra,2020-06-23,,,F
552,Sidi Abid,2020-06-23,,,F
553,El Marja,2020-06-23,,,F
554,El Khlij,2020-06-23,,,F
555,Cebelet Ben Ammar,2020-06-23,,,F
556,Jbal Ammar,2020-06-23,,,F
557,Cité Jlass,2020-06-23,,,F
558,Cherfech 24,2020-06-23,,,F
9,Jbal Ammar,2020-07-07,,,F
522,Sodd,2020-06-30,,,F
559,Cité Fellahin,2020-06-23,,,F
560,Chebbaou,2020-06-23,,,F
561,Jbal Touba,2020-06-23,,,F
562,Sidi Fnar,2020-06-23,,,F
563,Essaraguia,2020-06-23,équipemnt en cours,sept_2020,A
564,Fifh El Balloum,2020-06-23,équipemnt en cours,sept_2020,F
565,Takasim est,2020-06-23,,,F
566,Bir Zouari,2020-06-23,,,F
567,Chahed El Agreb,2020-06-23,rabattement de la nappe,,F
568,Ouled Omor rouached,2020-06-23,,,F
569,Hawel El Oued,2020-06-23,,,F
570,Ouled Issa,2020-06-23,,,F
571,Ouled Nasser Jbel,2020-06-23,manque resource d'eau+  refus de piquage de la part de la SONEDE,,A
572,Jibilet Elousset,2020-06-23,,,F
573,Bir Saad,2020-06-23,défaut d'isolement necessite le démontage ,fin juin_2020,A
574,El Hanachia,2020-06-23,,,F
575,El Fej,2020-06-23,Bouchage reseau ouled ahmed ben saad,fin juin_2020,P
576,El Ogla,2020-06-23,en cours d'équipement,juil_2020,A
577,Swinia,2020-06-23,non éléctrifié (en cours de signature de marché entre STEG et PDAI),dec_2020,F
578,Ftaimia,2020-06-23,,,F
579,Abebsa,2020-06-23,opposition des citoyens sur le passage du conduite de refoulement,Oct_2020,A
580,El Karia,2020-06-23,,,F
581,Ouled Haj Boualleg,2020-06-23,,,F
582,Msadgfiya,2020-06-23,,,F
583,Mgalsia,2020-06-23,Equipement et électrification du forage,sept_2020,A
584,Amaymia 1,2020-06-23,,,F
585,Gramlia,2020-06-23,,,F
586,Amaymia 2,2020-06-23,,,F
587,AmaymiaNadhour,2020-06-23,,,F
588,Mitkidis,2020-06-23,,,F
589,Guettar 2,2020-06-23,,,F
590,Guettar 1,2020-06-23,,,F
591,Rkaiez El Bidh,2020-06-23,,,F
592,El Adhla El Hamra,2020-06-23,,,F
593,Akarim Entilaka,2020-06-23,,,F
594,Henchir Gtif,2020-06-23,,,F
595,Henchir Barouka,2020-06-23,,,F
596,Ouglet Ahmed,2020-06-23,,,F
597,Ouled Issa Nouveau,2020-06-23,en cours d'équipement,juil_2020,F
598,Ouled Mhamed,2020-06-23,,,F
599,Hawel El Oued bis,2020-06-23,,,F
600,Ouled Dellej,2020-06-23,,,F
601,Jdida - Jarara,2020-06-23,traveaux d'électrification en cours,Déc_2020,A
602,El Hosseb,2020-06-23,en cours d'équiepent + éléctrification,Déc_2020,A
10,Cité Jlass,2020-07-07,bouchage,10-juil-20,P
603,Jdida Ouled Belgacem,2020-06-23,,,F
604,Henchir Lafrah,2020-06-23,,,F
605,Abed Essadeg,2020-06-23,,,F
606,Hbarna,2020-06-23,en cours de creation du GDA,,A
607,Goussa,2020-06-23,"rabattement de la nappe , en cours d'engagement des credit pour raccordement du reseau avec forage sonede",fin juillet 2020,F
608,O.Chrayet O.Tlijene,2020-06-23,en attente de l'expertise des travaux executés par  entreprise resilié ,2021,F
609,Majoura Edekhla,2020-06-23,en cours de preparation de consultation pour la réhabilitation de 1 km de conduite tassé  l'hors de l'execution des travaux de revetement de la route,fin 2020,F
610,Alim Edakhla,2020-06-23,,,F
611,Ouled Zid,2020-06-23,,,F
612,Echabiba,2020-06-23,,,F
613,Athmnia,2020-06-23,Equipement et électrification du forage,fin juillet 2020,A
614,Henchir Lekhriba,2020-06-23,,,F
615,Aouaynia (Ezalouf),2020-06-23,Endettement Steg,,A
616,Skakra,2020-06-23,Endettement Steg,,A
617,Sned Jbel,2020-06-23,,,F
618,Saaydia,2020-06-23,,,F
619,Oued Lasfer,2020-06-23,ancien forage abandonné en cours de raccordement avec le nouveau forage oued lassfer 2,fin juin_2020,P
620,Khed Rabeh,2020-06-23,,,F
621,El Grefi,2020-06-23,,,F
622,El Guedara,2020-06-23,,,F
623,Essaafet,2020-06-23,,,F
624,El Houd,2020-06-23, Travaux de réhabilitation en cours,,F
625,Ouled Hachena,2020-06-23,,,F
626,El Itha,2020-06-23, Travaux de réhabilitation en cours,,F
627,Oued Hamouda,2020-06-23,,,F
628,El Brahmia,2020-06-23,,,F
629,Ettoualeb 1,2020-06-23,,,F
630,Esskhaibia,2020-06-23,,,F
631,El Ayeida,2020-06-23,,,F
632,Ettoualeb 2,2020-06-23,,,F
633,Essoudene,2020-06-23, Travaux de réhabilitation en cours,,F
634,Chamess,2020-06-23,,,F
635,Echwardia,2020-06-23,,,F
636,Ouled Hamrouni,2020-06-23,,,F
637,Ouled Abed ennebi,2020-06-23,,,F
638,El Boussra,2020-06-23,,,F
639,Ennbaeitte,2020-06-23,Casses fréquente sur un tronçon du  réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,,F
640,Ouled Amara,2020-06-23,,,F
641,El Bkour,2020-06-23,,,F
642,El Maata,2020-06-23,,,F
643,Ouled Lahouel,2020-06-23,,,F
644,El Arayguia,2020-06-23,,,F
645,Allaya,2020-06-23,,,F
646,Bouslim,2020-06-23,,,F
647,Ajilette,2020-06-23,,,F
648,Mharza,2020-06-23,Baisse de débit en période de pointe au niveau du piquage Sonede,,F
649,Kraaid,2020-06-23,,,F
650,Bir Maleh,2020-06-23,"Casses fréquentes sur un tronçon du réseau de distribution n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,",,F
651,Ouled Ali,2020-06-23,Casses fréquente sur un tronçon de la conduite d'adduction  n'engendrant pas l'arrêt du système / le GDA assure la maintenance et la réparation des fuites / consultation en cours sur le PRD pour le changement du tronçon en question,,F
652,Ouled Mlik,2020-06-23,,,F
653,SIDI ACHOUR ,2020-06-23,,,F
654,BORJ EL KHALSI,2020-06-23,,,F
655,BIR EJJDID,2020-06-23,,,F
656,MASAADINE,2020-06-23,,,F
657,EL AOUILIA,2020-06-23,,,F
658,BIR ETTOUIL ,2020-06-23,,,F
659,DRIJA ,2020-06-23,,,F
660,FIDH ALA AMRINE ,2020-06-23,,,F
661,AL ALOUINE ,2020-06-23,,,F
662,NFAIDH ,2020-06-23,Baisse de débit en période de pointe au niveau du piquage Sonede.,en cours d'enregistrement des deux conventions pour l'exécution et l'équipement HEM d'une station  de reprise (Délai d'exécution 120 jours).,F
663,HALFAOUI,2020-06-23,,,F
664,MAHFOURA,2020-06-23,,,F
665,ZOUITINA,2020-06-23,,,F
666,KHRIBA,2020-06-23,,,F
667,ERRABTA,2020-06-23,,,F
668,TIRRASSET,2020-06-23,,,F
669,BOOLI ,2020-06-23,,,F
670,BEN GHNIA ,2020-06-23,,,F
671,HINCHIR EZOUYA/SIDIALI BEN OUN,2020-06-23,,,F
672,SIDI SAID,2020-06-23,,,F
673,HENNA ,2020-06-23,,,F
674,GANTOURIA ,2020-06-23,,,F
675,MANZEL SHAL ,2020-06-23,,,F
676,MANZEL AMOR (chaouat),2020-06-23,,,F
677,HKAIMIA ,2020-06-23,,,F
678,GUECHBA SIDI SALEM ,2020-06-23,,,F
679,HENNA ET DHNIBA ,2020-06-23,,,F
680,SIDI ALI HATTAB ,2020-06-23,,,F
681,BOUHAMED,2020-06-23,,,F
682,AIN KARMA,2020-06-23,,,F
683,MAAFRINE ,2020-06-23,,,F
684,FAZANINE,2020-06-23,,,F
685,JNAIDIA,2020-06-23,,,F
686,MELLEHA,2020-06-23,,,F
687,GAFFAYA,2020-06-23,,,F
688,AIN HAWARIA,2020-06-23,,,F
689,MAGTAA ET NADHOUR,2020-06-23,,,F
690,BOUALI,2020-06-23,,,F
691,TYAYRA,2020-06-23,,,F
692,BEJA KADIMA,2020-06-23,,,F
693,BOUKHARROUBA,2020-06-23,,,F
694,DOUAR EL BAY ELLOZGA,2020-06-23,Baisse de débit en période de pointe au niveau du piquage Sonede.,en cours d'exécution des travaux de recalibrage de la conduite d'adduction qui alimente le point de piquage (au niveau de la station de reprise : Douar el Bay ) par la SONEDE                                                   NB: Travaux de pose achevés et reste l'auorisation de la SECADENORD  pour le traversée du CANAL,F
695,Echahbania Est,2020-06-23,,,F
696,EchahbaniaOuest,2020-06-23,,,F
697,Henchir Hwachi,2020-06-23,Manque d'eau (mauvaise gestion designation d'une comité de gestion provisoire) ,Aout 2020,P
698,Beniri,2020-06-23,Manque d'eau ,Aout 2020,P
699,Essfifir,2020-06-23,,,F
700,Ennafatiya,2020-06-23,,,F
701,Oued Ettaam,2020-06-23,,,F
702,Essnam,2020-06-23,,,F
703,El Ferjanya,2020-06-23,,,F
704,Bou Guedima,2020-06-23,,,F
705,Grar Bou Ghrara,2020-06-23,,,F
706,El Halfaoui,2020-06-23,,,F
707,Echguiguiya,2020-06-23,,,F
708,Echraf,2020-06-23,,,F
709,Bou Ramli,2020-06-23,,,F
710,Ras Bou Ramli,2020-06-23,,,F
711,Aalamet El Mechlouch,2020-06-23,,,F
712,El Mraiich,2020-06-23,,,F
713,Cité Rguii,2020-06-23,,,F
714,El Grine,2020-06-23,,,F
715,Amra,2020-06-23,,,F
716,Chaabet Sali,2020-06-23,,,F
717,Essaadene,2020-06-23,,,F
718,El Hlalma El Outhanya,2020-06-23,,,F
719,Echaabania,2020-06-23,,,F
720,El Meghraouia,2020-06-23,,,F
721,Mars et Krid,2020-06-23,,,F
722,Gsibet El Lhiouette,2020-06-23,,,F
723,Cité Jwili,2020-06-23,,,F
724,Essed,2020-06-23,,,F
725,El Gattar,2020-06-23,,,F
726,Henchir El Mejel,2020-06-23,,,F
727,Menzelt Mogar,2020-06-23,,,F
728,Medhhar El hallouf,2020-06-23,,,F
729,Aziza,2020-06-23,,,F
730,Wejh El Ghaa,2020-06-23,,,F
731,Chaabet El Mejel,2020-06-23,,,F
732,El Bagbag II,2020-06-23,,,F
733,El Bagbag I,2020-06-23,,,F
734,Ksar Ejra,2020-06-23,Manque d'eau ,Aout 2020,A
735,Oued El Khil,2020-06-23,Manque d'eau,Aout 2020,P
737,El Battouma,2020-06-23,,,F
738,Bou Ala,2020-06-23,,,F
739,El Awachir,2020-06-23,,,F
740,Enkim,2020-06-23,,,F
741,Warzgha,2020-06-23,,,F
742,Echwamekh,2020-06-23,Manque d'eau,Aout 2020,F
11,Cherfech 24,2020-07-07,,,F
743,El Hachana,2020-06-23,Manque d'eau,Aout 2020,F
744,Grib,2020-06-23,,,F
745,Chaabet El Maarek,2020-06-23,,,F
746,El Mechbek,2020-06-23,,,F
747,Bennirane,2020-06-23,,,F
748,Chaabet Essour,2020-06-23,,,F
749,Tebne Soliman,2020-06-23,,,F
750,Boucharay Soliman,2020-06-23,,,F
751,Bir drassen Bni Khalled,2020-06-23,,,F
752,Bouafif Bni khaled,2020-06-23,,,F
753,Rouihine et aitha Menzel  Bouzelfa,2020-06-23,,,F
754,Bouchrik  Menzel Bouzelfa,2020-06-23,,,F
755,Takelsa Janoubia,2020-06-23,,,F
756,Takelsa oued abid,2020-06-23,,,F
757,Jbal Trif Grombalia,2020-06-23,,,F
758,Bni ayech Grombalia,2020-06-23,Manque des ressources an eau,43983,F
759,Bouzekri et touelbia Grombalia,2020-06-23,,,F
760,Henchir Jbir Grombalia,2020-06-23,,,F
761,Kharrouba Bou arghoub,2020-06-23,,,F
762,Bousham Bou Arghoub,2020-06-23,,,F
763,Arghoub essid Bou Arghoub,2020-06-23,,,F
764,Hamman JDIDI Hammamet,2020-06-23,,,F
765,Sidi hammed et besbassia Hamammet,2020-06-23,,,F
766,Beni ouael Hammamet,2020-06-23,,,F
767,Menzel Mousa Hammamet,2020-06-23,,,F
768,Latrach Hammamet,2020-06-23,,,F
769,Gosbet korba,2020-06-23,,,F
770,Gobbet lagha Korba,2020-06-23,,,F
771,Boulidin Korba,2020-06-23,,,F
772,Boulazhar Korba,2020-06-23,,,F
773,Henchir tirif Korba,2020-06-23,,,F
774,Awled Ben thamer Korba,2020-06-23,,,F
775,El ouidienne Menzel Tmime,2020-06-23,,,F
776,Nakhla Menzel Tmime,2020-06-23,,,F
777,Garsouline Menzel Tmime,2020-06-23,,,F
778,Menzel Yahya Menzel Tmime,2020-06-23,,,F
779,Irgh Esses Menzel Tmime,2020-06-23,,,F
780,Menzel Ibrahim Klibia,2020-06-23,,,F
781,El Hzaizia Hawaria,2020-06-23,,,F
782,El koudwa Hawaria,2020-06-23,,,F
783,Ksira w Zwabi Hawaria,2020-06-23,,,F
784,Nawalet Mida,2020-06-23,,,F
785,Tamazrat  Hammam El Ghzaz,2020-06-23,,,F
786,El Halfa Bni Khiar,2020-06-23,,,F
787,Chabet Zitouna,2020-06-23,,,F
788,Bir El Aati,2020-06-23,,,F
789,Sodd,2020-06-23,,,F
790,El Argoub,2020-06-23,,,F
791,El Mdhila,2020-06-23,Baisse de débit  au niveau du piquage Sonede,44317,F
792,El Farch,2020-06-23,,,F
793,SAMAR Oudayet AbdOunis,2020-06-23,,,F
794,Stah Gheryani,2020-06-23,,,F
795,Azaliik  Labaith,2020-06-23,,,F
796,Kerchaw,2020-06-23,,,F
797,Ksar awled dabbeb,2020-06-23,,,F
798,Bni Yakhzer,2020-06-23,,,F
799,bni blel,2020-06-23,Casses fréquentes de  réseaux ,44013,F
800,Bir Amir village,2020-06-23,,,F
801,Draina,2020-06-23,,,F
802,Bou Jarboua,2020-06-23,"réhab,SR",fin juillet,P
803,Markez Mosbeh,2020-06-23,pression faible,appel d'offre en cours pour création SR,P
804,OM Saleh,2020-06-23,pression faible,appel d'offre en cours pour création SR,P
805,Mhedhba_ Chnaina_ Kasr Rih,2020-06-23,pression faible,appel d'offre en cours pour création SR,P
806,Sidi Hssen Belhaj Hlelefa,2020-06-23,transfert à la SONEDE,fin juillet,P
807,Bousaid Hadhara,2020-06-23,,,F
808,Sbih,2020-06-23,manque de ressources + dettes,après réechelonnement des dettes,P
809,Naouel (3GDA),2020-06-23,dettes SONEDE,après réechelonnement des dettes,A
810,Intlaka Aouled Amor,2020-06-23,,,F
811,Intlika Aouled Amor nouveau,2020-06-23,,,F
812,Intlika Aouled Amor Ancien,2020-06-23,,,F
813,Mghadhia,2020-06-23,,,F
814,Mghadhia Chouket,2020-06-23,,,F
815,Ethet Chlaya,2020-06-23,"Réhab,SAEP",2021,A
816,Ghaib,2020-06-23,,,F
818,Bou said Hadhara,2020-06-23,,,F
819,Bousaid Knitra,2020-06-23,,,F
820,Bousaid Knitra ,2020-06-23,,,F
822,Ras souina _Toleb,2020-06-23,,,F
823,Aouled Fatnassi,2020-06-23,,,F
824,Sidi Ghrib,2020-06-23,"Réhab,SAEP",AOUT 2020,A
825,Tarfaoui,2020-06-23,,,F
826,Gragour,2020-06-23,dettes SONEDE + panne technique (bouchage),,P
827,Gargour,2020-06-23,dettes SONEDE + panne technique (bouchage),,P
828,Sawa3ed,2020-06-23,,,F
829,Bouladhieb,2020-06-23,,,F
831,Frajnia ,2020-06-23,,,F
832,Frajnia,2020-06-23,,,F
833,Frajnia (Ben sahloun),2020-06-23,,,F
834,Bou Ladhieb (aouled saada),2020-06-23,,,F
835,Rbai ouled aliya,2020-06-23,"Réhab,SAEP",2021,A
836,Oudrane Nord,2020-06-23,manque de ressources,aout 2020,P
837,Chaaleb,2020-06-23,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
821,Toleb Ras Souinia,2020-06-23,,,F
838, Chaaleb,2020-06-23,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2021,P
839,L'abrage,2020-06-23,,,F
840,Ltaifa 1,2020-06-23,,,F
841,Ltaifa 2,2020-06-23,,,F
842,ltafia2,2020-06-23,,,F
843,Bir Abbes,2020-06-23,,,F
844,Sidi abd kafi,2020-06-23,,,F
845,Sidi Abd Kafi ,2020-06-23,,,F
846,Sidi Issa,2020-06-23,,,F
847,Sidi issa_choucha,2020-06-23,,,F
848,Attcha,2020-06-23,,,F
849,Kraima,2020-06-23,,,F
850,Attacha,2020-06-23,,,F
851,Raghayia,2020-06-23,,,F
852,Msadga,2020-06-23,,,F
853,Raghaya,2020-06-23,,,F
854,Zelyana,2020-06-23,,,F
855,Om choucha1,2020-06-23,,,F
856,Om choucha 2,2020-06-23,,,F
857,Om choucha,2020-06-23,,,F
858,choket ,2020-06-23,,,F
859,Jerwala_Satour,2020-06-23,,,F
860,Jerwala_Satour(aouled Bahri),2020-06-23,,,F
861,Jerwala,2020-06-23,,,F
862,Melha SAEP Sbih,2020-06-23,manque de ressources + dettes,après réechelonnement des dettes,P
863,Chfafra AEP Sbih,2020-06-23,manque de ressources + dettes,après réechelonnement des dettes,P
864,Zobra AEP Sbih,2020-06-23,manque de ressources + dettes,après réechelonnement des dettes,P
865,Zaboussa Khawala,2020-06-23,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
866,Atil,2020-06-23,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
867,Frichet,2020-06-23,dettes SONEDE + panne technique (casses de conduite fréquentes),aout 2020,P
868,Nawel -ouled gmar,2020-06-23,dettes SONEDE,après réechelonnement des dettes,A
870,Sidi Abid,2020-06-02,,,F
871,El Marja,2020-06-02,,,F
872,El Khlij,2020-06-02,,,F
873,Cherfech 24,2020-06-02,,,F
874,Sidi Fnar,2020-06-02,,,F
875,Essarsar El Hmeimia,2020-06-02,,,F
876,Ksar Mezwar,2020-06-02,,,F
877,Jbel Echaara ,2020-06-02,,,F
878,Ouled Soula,2020-06-02,,,F
879,Ennheichia,2020-06-02,,,F
880,Ain Soltan,2020-06-02,,,F
881,Ennoueichia,2020-06-02,,,F
882,El Karrek,2020-06-02,,,F
883,Bou Kasslene Ain Chalou,2020-06-02,Branchements illicites et endettement,juin-20,P
884,Sidi Mahmoud,2020-06-02,,,F
869,El Fejja,2020-06-02,,,F
885,Ain Essatara Echourfa,2020-06-02,Baisse de débit du Forage Ain Essatara,juil-20,P
886,Ezziedine,2020-06-02,,,F
887,Eddkheilia,2020-06-02,,,F
888,Bou Saada,2020-06-02,,,F
889,Essafeya,2020-06-02,,,F
890,Lafereg,2020-06-02,Branchements illicites et abus de consommation,juin-20,P
891,Henchir Mansour Lengaa,2020-06-02,,,F
892,El Welja Ezzouabi,2020-06-02,,,F
893,Ouled Alya,2020-06-02,,,F
894,El Mkhachbia,2020-06-02,,,F
895,El Araibia,2020-06-02,,,F
896,Bichouk Guitouni,2020-06-02,,,F
897,Ksar Hdid,2020-06-02,,,F
898,El Meleh,2020-06-02,,,F
899,El yosr 2,2020-06-02,,,F
900,El Houaoulia,2020-06-02,,,F
901,Bou Khmira,2020-06-02,,,F
902,Sbaa Ouynette,2020-06-02,,,F
903,Ain El Acha,2020-06-02,,,F
904,El Karia,2020-06-02,,,F
905,Beni Malek1,2020-06-02,,,F
906,El Homr El Fahema,2020-06-02,,,F
907,Beni Malek 2,2020-06-02,,,F
908,Echebia,2020-06-02,,,F
909,El Jouza,2020-06-02,,,F
910,El Hamra El Fteitna,2020-06-02,,,F
911,El Ghorfa,2020-06-02,,,F
912,Meghraoua,2020-06-02,,,F
913,Essoueibia,2020-06-02,,,F
914,Elaaraba,2020-06-02,,,F
915,Tamisa Ermathnia,2020-06-02,,,F
916,El Gassaa,2020-06-02,,,F
917,Argoub limama,2020-06-02,,,F
918,Weljet Edoukhane,2020-06-02,,,F
919,Ain Younes,2020-06-02,,,F
920,Oued Lahmar,2020-06-02,,,F
921,Zaatriya Birmilia,2020-06-02,,,F
922,Khawaldia,2020-06-02,,,F
923,Bir Bouneb,2020-06-02,,,F
924,Mezghouta Zeldou,2020-06-02,,,F
925,Jlasse Bou Issa,2020-06-02,,,F
926,Lahweche,2020-06-02,,,F
927,Oued Zitoun,2020-06-02,,,F
928,El Ksar,2020-06-02,,,F
929,Bou Sedra,2020-06-02,,,F
930,Trabelsia,2020-06-02,,,F
931,Mabrek Ejmel,2020-06-02,,,F
932,Louatia,2020-06-02,,,F
933,Kbar Erroum,2020-06-02,,,F
934,Hidous,2020-06-02,,,F
935,Khacheb,2020-06-02,,,F
936,Sidi Nasser,2020-06-02,,,F
937,Ettrifa,2020-06-02,,,F
938,Chikh El Wediane,2020-06-02,Branchements illicites,juin-20,P
12,Cité Fellahin,2020-07-07,,,F
939,Ouled Sidhom Ena‹mya,2020-06-02,,,F
940,Ennouayria,2020-06-02,,,F
941,Jreidia Abebda,2020-06-02,Endettement STEG du GDA source,Avant été 2020,A
942,Belhouane,2020-06-02,,,F
943,El Ghouaoura,2020-06-02,,,F
944,Oued Damous,2020-06-02,,,F
945,Oued El Maadene,2020-06-02,,,F
946,Errmila Fatnassa,2020-06-02,,,F
947,Ain El Moussem,2020-06-02,,,F
948,Ejmila El Kamara,2020-06-02,,,F
949,Ejmil et Daoua,2020-06-02,,,F
950,Edhirat Ettraiya,2020-06-02,,,F
951,Jbel Eddis,2020-06-02,,,F
952,Zaga,2020-06-02,,,F
953,Bou Karnouna,2020-06-02,,,F
954,Ghyadha,2020-06-02,,,F
955,Tabouba,2020-06-02,,,F
956,Ouled Ali Essendiane,2020-06-02,,,F
957,El Mchergua,2020-06-02,,,F
958,Tabouba Oued maadene,2020-06-02,,,F
959,Bellif Cap Nigro,2020-06-02,,,F
960,El Oulija,2020-06-02,,,F
961,Hdhil,2020-06-02,Problèmes social avec Bou Zenna 2,Avant été 2020,A
962,Iadhy Ain Melleti,2020-06-02,,,F
963,Ouled Marii,2020-06-02,Retard du raccordement sur l'axe Bouhertma Téboursouk,,A
964,Rihana,2020-06-02,,,F
965,Neffet Zehna Garn Kebch,2020-06-02,,,F
966,Ain Hammem,2020-06-02,Baisse de débit du Forage Ain hammem,mai-20,P
967,Bel Ich,2020-06-02,,,F
968,Tarhouna,2020-06-02,,,F
969,Errahma Sidi Fraj,2020-06-02,,,F
970,Ennaouali,2020-06-02,Entartrage des conduites,févr-20,P
971,El Balasse Ben Issa,2020-06-02,Entartrage des conduites,janv-20,P
972,El Abebsa,2020-06-02,Entartrage des conduites,déc-19,P
973,Sidi salem l'Ecole,2020-06-02,,mars-20,F
974,Sidi Salem Village,2020-06-02,,,F
975,Sidi Massoud1,2020-06-02,,,F
976,El Kssibi,2020-06-02,,,F
977,El Gonna,2020-06-02,,,F
978,El Gonna Ouest,2020-06-02,,,F
979,Ain Ragued,2020-06-02,Entartrage des conduites,mars-20,P
980,Tayari,2020-06-02,,,F
981,Ezzouawine,2020-06-02,,,F
982,Hinchir Khlil,2020-06-02,,,F
983,Bou Stita,2020-06-02,,,F
984,Boorj Essoughi,2020-06-02,Manque des ressources an eau,févr-20,P
985,Beni Aouf   ,2020-06-02,,,F
986,Menzel Zid  ,2020-06-02,,,F
987,Ain El Aich  ,2020-06-02,,,F
988,Beni Meslem  ,2020-06-02,,,F
989,Ksar Khrouf  ,2020-06-02,,,F
990,Chrayfia  ,2020-06-02,,,F
991,Najah  ,2020-06-02,,,F
992,Bechateur  ,2020-06-02,,,F
993,Borj Elgolli  ,2020-06-02,,,F
994,Doumis  ,2020-06-02,,,F
995,Tramis Edmaien  ,2020-06-02,,,F
996,Hashassia  ,2020-06-02,,,F
997,Ghar Wenkel  ,2020-06-02,,,F
998,Hammada ,2020-06-02,,,F
999,Ichkeul,2020-06-02,,,F
1000,Kallalia,2020-06-02,Casses réseaux,juin-20,P
1001,El Mahroug,2020-06-02,,,F
1002,Bni Labouz,2020-06-02,,,F
1003,Fritissa,2020-06-02,,,F
1004,Sidi Abdelbasset,2020-06-02,,,F
1005,Terglech,2020-06-02,,,F
1006,Soudia ,2020-06-02,Entartrage des conduites,juin-20,P
1007,Beni Mghis,2020-06-02,,,F
1008,El Menchar ,2020-06-02,,,F
1009,Tahent,2020-06-02,,,F
1010,Smadeh,2020-06-02,,,F
1011,Sidi Abderrahmen,2020-06-02,,,F
1012,Beni Darraj,2020-06-02,,,F
1013,Ouled Rahma ,2020-06-02,,,F
1014,El Hkara1,2020-06-02,,,F
1015,El Hkara 2,2020-06-02,,,F
1016,El Haj Ahmed,2020-06-02,,,F
1017,Jbabra,2020-06-02,,,F
1018,Twajnia,2020-06-02,,,F
1019,Rouaha,2020-06-02,,,F
1020,El Magboula,2020-06-02,,,F
1021,Rmil,2020-06-02,,,F
1022,Berraies,2020-06-02,,,F
1023,Blalma ,2020-06-02,,,F
1024,Sidi ElBachir,2020-06-02,,,F
1025,Sidi Malloul,2020-06-02,,,F
1026,Cap Sirat,2020-06-02,,,F
1027,Louka ,2020-06-02,,,F
1028,Sidi Mechreg,2020-06-02,,,F
1029,Houamlia Ouled Hassen,2020-06-02,,,F
1030,Dhouahria,2020-06-02,,,F
1031,Knainia ,2020-06-02,,,F
1032,Bni Yasla ,2020-06-02,,,F
1033,Aichoun,2020-06-02,,,F
1034,El Ghiren,2020-06-02,,,F
1035,El Guetma ,2020-06-02,,,F
1036,El Mrifeg,2020-06-02,,,F
1037,Bou-aouaj,2020-06-02,,,F
1038,Dahra  El Ali,2020-06-02,Manque des ressources an eau,juin-20,A
1039,El Goumria ,2020-06-02,,,F
1041,Ain El Karma ,2020-06-02,Entartrage des conduites,juin-20,P
1042,Dhouaouda,2020-06-02,,,F
1043,El Hara,2020-06-02,,,F
1044,Beni Brahim,2020-06-02,,,F
1045,El Kahla ,2020-06-02,,,F
1046,El Mjadbya,2020-06-02,Entartrage des conduites,juin-20,P
1047,El Hkara,2020-06-02,,,F
1048,Bourj Stili,2020-06-02,,,F
1049,Bach Hamba2,2020-06-02,,,F
1050,Bach Hamba3,2020-06-02,,,F
1051,Bach Hamba4,2020-06-02,,,F
1052,Bel Ghouth,2020-06-02,,,F
1053,Demna ,2020-06-02,,,F
1054,Ouled Hammouda,2020-06-02,,,F
1055,Sidi Hsen,2020-06-02,,,F
1056,El Amra,2020-06-02,,,F
1057,Zaten,2020-06-02,Groupe électropompe noyé,Fin 2019,A
1058,Ladbech Lachraf,2020-06-02,,,F
1059,Ezznazfa,2020-06-02,,,F
1060,Sidi Ahmed Touati,2020-06-02,Manque d'eau et endettement SONEDE,juil-20,P
1061,Mazraet Ben Slama,2020-06-02,,,F
1062,Beni rachid,2020-06-02,,,F
1063,warifen Zguaba,2020-06-02,,,F
1064,Oued El Ghirene,2020-06-02,,,F
1065,Abou El Wafa,2020-06-02,,,F
1066,Baten Ettrajma,2020-06-02,,,F
1067,El Mguitla,2020-06-02,,,F
1068,Essaraguia,2020-06-02,,,F
1069,Fifh El Balloum,2020-06-02,,,F
1070,Takasim est,2020-06-02,,,F
1071,Bir Zouari,2020-06-02,,,F
1072,Chahed El Agreb,2020-06-02,,,F
1073,Alanda 1,2020-06-02,,,F
1074,Alanda 2,2020-06-02,,,F
1075,Oued Jdari,2020-06-02,Endettement STEG,,A
1076,Zamour,2020-06-02,,,F
